"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","Croatia","1972","Males","Number",":"
"Total","Croatia","1972","Females","Number",":"
"Total","Croatia","1973","Total","Number","4.459.729"
"Total","Croatia","1973","Males","Number",":"
"Total","Croatia","1973","Females","Number",":"
"Total","Croatia","1974","Total","Number","4.480.592"
"Total","Croatia","1974","Males","Number",":"
"Total","Croatia","1974","Females","Number",":"
"Total","Croatia","1975","Total","Number","4.500.727"
"Total","Croatia","1975","Males","Number",":"
"Total","Croatia","1975","Females","Number",":"
"Total","Croatia","1976","Total","Number","4.523.436"
"Total","Croatia","1976","Males","Number",":"
"Total","Croatia","1976","Females","Number",":"
"Total","Croatia","1977","Total","Number","4.548.432"
"Total","Croatia","1977","Males","Number",":"
"Total","Croatia","1977","Females","Number",":"
"Total","Croatia","1978","Total","Number","4.570.709"
"Total","Croatia","1978","Males","Number",":"
"Total","Croatia","1978","Females","Number",":"
"Total","Croatia","1979","Total","Number","4.591.460"
"Total","Croatia","1979","Males","Number",":"
"Total","Croatia","1979","Females","Number",":"
"Total","Croatia","1980","Total","Number","4.598.095"
"Total","Croatia","1980","Males","Number",":"
"Total","Croatia","1980","Females","Number",":"
"Total","Croatia","1981","Total","Number","4.601.469"
"Total","Croatia","1981","Males","Number","2.226.890"
"Total","Croatia","1981","Females","Number","2.374.579"
"Total","Croatia","1982","Total","Number","4.621.548"
"Total","Croatia","1982","Males","Number","2.236.788"
"Total","Croatia","1982","Females","Number","2.384.760"
"Total","Croatia","1983","Total","Number","4.646.921"
"Total","Croatia","1983","Males","Number","2.249.260"
"Total","Croatia","1983","Females","Number","2.397.661"
"Total","Croatia","1984","Total","Number","4.669.587"
"Total","Croatia","1984","Males","Number","2.260.423"
"Total","Croatia","1984","Females","Number","2.409.164"
"Total","Croatia","1985","Total","Number","4.690.983"
"Total","Croatia","1985","Males","Number","2.271.060"
"Total","Croatia","1985","Females","Number","2.419.923"
"Total","Croatia","1986","Total","Number","4.711.852"
"Total","Croatia","1986","Males","Number","2.281.517"
"Total","Croatia","1986","Females","Number","2.430.335"
"Total","Croatia","1987","Total","Number","4.731.041"
"Total","Croatia","1987","Males","Number","2.291.276"
"Total","Croatia","1987","Females","Number","2.439.765"
"Total","Croatia","1988","Total","Number","4.748.450"
"Total","Croatia","1988","Males","Number","2.300.220"
"Total","Croatia","1988","Females","Number","2.448.230"
"Total","Croatia","1989","Total","Number","4.761.965"
"Total","Croatia","1989","Males","Number","2.307.138"
"Total","Croatia","1989","Females","Number","2.454.827"
"Total","Croatia","1990","Total","Number","4.772.556"
"Total","Croatia","1990","Males","Number","2.312.578"
"Total","Croatia","1990","Females","Number","2.459.978"
"Total","Croatia","1991","Total","Number","4.782.179"
"Total","Croatia","1991","Males","Number","2.317.548"
"Total","Croatia","1991","Females","Number","2.464.631"
"Total","Croatia","1992","Total","Number","4.595.865"
"Total","Croatia","1992","Males","Number","2.216.441"
"Total","Croatia","1992","Females","Number","2.379.424"
"Total","Croatia","1993","Total","Number","4.555.771"
"Total","Croatia","1993","Males","Number","2.189.412"
"Total","Croatia","1993","Females","Number","2.366.359"
"Total","Croatia","1994","Total","Number","4.645.155"
"Total","Croatia","1994","Males","Number","2.232.369"
"Total","Croatia","1994","Females","Number","2.412.786"
"Total","Croatia","1995","Total","Number","4.658.893"
"Total","Croatia","1995","Males","Number","2.238.971"
"Total","Croatia","1995","Females","Number","2.419.922"
"Total","Croatia","1996","Total","Number","4.581.167"
"Total","Croatia","1996","Males","Number","2.201.618"
"Total","Croatia","1996","Females","Number","2.379.549"
"Total","Croatia","1997","Total","Number","4.533.028"
"Total","Croatia","1997","Males","Number","2.178.485"
"Total","Croatia","1997","Females","Number","2.354.543"
"Total","Croatia","1998","Total","Number","4.536.812"
"Total","Croatia","1998","Males","Number","2.180.303"
"Total","Croatia","1998","Females","Number","2.356.509"
"Total","Croatia","1999","Total","Number","4.527.460"
"Total","Croatia","1999","Males","Number","2.175.810"
"Total","Croatia","1999","Females","Number","2.351.650"
"Total","Croatia","2000","Total","Number","4.497.735"
"Total","Croatia","2000","Males","Number","2.163.078"
"Total","Croatia","2000","Females","Number","2.334.657"
"Total","Croatia","2001","Total","Number","4.295.406"
"Total","Croatia","2001","Males","Number","2.064.097"
"Total","Croatia","2001","Females","Number","2.231.309"
"Total","Croatia","2002","Total","Number","4.305.494"
"Total","Croatia","2002","Males","Number","2.069.027"
"Total","Croatia","2002","Females","Number","2.236.467"
"Total","Croatia","2003","Total","Number","4.305.384"
"Total","Croatia","2003","Males","Number","2.068.385"
"Total","Croatia","2003","Females","Number","2.236.999"
"Total","Croatia","2004","Total","Number","4.305.725"
"Total","Croatia","2004","Males","Number","2.068.841"
"Total","Croatia","2004","Females","Number","2.236.884"
"Total","Croatia","2005","Total","Number","4.310.861"
"Total","Croatia","2005","Males","Number","2.072.281"
"Total","Croatia","2005","Females","Number","2.238.580"
"Total","Croatia","2006","Total","Number","4.312.487"
"Total","Croatia","2006","Males","Number","2.073.933"
"Total","Croatia","2006","Females","Number","2.238.554"
"Total","Croatia","2007","Total","Number","4.313.530"
"Total","Croatia","2007","Males","Number","2.076.181"
"Total","Croatia","2007","Females","Number","2.237.349"
"Total","Croatia","2008","Total","Number","4.311.967"
"Total","Croatia","2008","Males","Number","2.076.988"
"Total","Croatia","2008","Females","Number","2.234.979"
"Total","Croatia","2009","Total","Number","4.309.796"
"Total","Croatia","2009","Males","Number","2.076.767"
"Total","Croatia","2009","Females","Number","2.233.029"
"Total","Croatia","2010","Total","Number","4.302.847"
"Total","Croatia","2010","Males","Number","2.074.651"
"Total","Croatia","2010","Females","Number","2.228.196"
"Total","Croatia","2011","Total","Number","4.289.857"
"Total","Croatia","2011","Males","Number","2.068.752"
"Total","Croatia","2011","Females","Number","2.221.105"
"Total","Croatia","2012","Total","Number","4.275.984"
"Total","Croatia","2012","Males","Number","2.062.309"
"Total","Croatia","2012","Females","Number","2.213.675"
"Total","Croatia","2013","Total","Number","4.262.140"
"Total","Croatia","2013","Males","Number","2.056.483"
"Total","Croatia","2013","Females","Number","2.205.657"
"Total","Croatia","2014","Total","Number","4.246.809"
"Total","Croatia","2014","Males","Number","2.049.748"
"Total","Croatia","2014","Females","Number","2.197.061"
"Total","Croatia","2015","Total","Number","4.225.316"
"Total","Croatia","2015","Males","Number","2.039.227"
"Total","Croatia","2015","Females","Number","2.186.089"
"Total","Croatia","2016","Total","Number","4.190.669"
"Total","Croatia","2016","Males","Number","2.022.797"
"Total","Croatia","2016","Females","Number","2.167.872"
"Total","Croatia","2017","Total","Number","4.154.213"
"Total","Croatia","2017","Males","Number","2.005.210"
"Total","Croatia","2017","Females","Number","2.149.003"
"Total","Croatia","2018","Total","Number","4.105.493"
"Total","Croatia","2018","Males","Number","1.981.799"
"Total","Croatia","2018","Females","Number","2.123.694"
"Total","Italy","1960","Total","Number","50.025.500"
"Total","Italy","1960","Males","Number","24.498.900"
"Total","Italy","1960","Females","Number","25.526.600"
"Total","Italy","1961","Total","Number","50.373.900"
"Total","Italy","1961","Males","Number","24.668.700"
"Total","Italy","1961","Females","Number","25.705.200"
"Total","Italy","1962","Total","Number","50.698.800"
"Total","Italy","1962","Males","Number","24.829.100"
"Total","Italy","1962","Females","Number","25.869.700"
"Total","Italy","1963","Total","Number","51.060.100"
"Total","Italy","1963","Males","Number","25.000.600"
"Total","Italy","1963","Females","Number","26.059.500"
"Total","Italy","1964","Total","Number","51.443.900"
"Total","Italy","1964","Males","Number","25.186.700"
"Total","Italy","1964","Females","Number","26.257.200"
"Total","Italy","1965","Total","Number","51.906.800"
"Total","Italy","1965","Males","Number","25.408.000"
"Total","Italy","1965","Females","Number","26.498.800"
"Total","Italy","1966","Total","Number","52.317.900"
"Total","Italy","1966","Males","Number","25.607.700"
"Total","Italy","1966","Females","Number","26.710.200"
"Total","Italy","1967","Total","Number","52.720.100"
"Total","Italy","1967","Males","Number","25.803.300"
"Total","Italy","1967","Females","Number","26.916.800"
"Total","Italy","1968","Total","Number","53.080.900"
"Total","Italy","1968","Males","Number","25.974.500"
"Total","Italy","1968","Females","Number","27.106.400"
"Total","Italy","1969","Total","Number","53.390.600"
"Total","Italy","1969","Males","Number","26.122.300"
"Total","Italy","1969","Females","Number","27.268.300"
"Total","Italy","1970","Total","Number","53.685.300"
"Total","Italy","1970","Males","Number","26.260.000"
"Total","Italy","1970","Females","Number","27.425.300"
"Total","Italy","1971","Total","Number","53.958.400"
"Total","Italy","1971","Males","Number","26.390.700"
"Total","Italy","1971","Females","Number","27.567.700"
"Total","Italy","1972","Total","Number","54.188.579"
"Total","Italy","1972","Males","Number","26.499.055"
"Total","Italy","1972","Females","Number","27.689.524"
"Total","Italy","1973","Total","Number","54.574.111"
"Total","Italy","1973","Males","Number","26.677.131"
"Total","Italy","1973","Females","Number","27.896.980"
"Total","Italy","1974","Total","Number","54.928.700"
"Total","Italy","1974","Males","Number","26.840.113"
"Total","Italy","1974","Females","Number","28.088.587"
"Total","Italy","1975","Total","Number","55.293.036"
"Total","Italy","1975","Males","Number","27.006.597"
"Total","Italy","1975","Females","Number","28.286.439"
"Total","Italy","1976","Total","Number","55.588.966"
"Total","Italy","1976","Males","Number","27.137.474"
"Total","Italy","1976","Females","Number","28.451.492"
"Total","Italy","1977","Total","Number","55.847.553"
"Total","Italy","1977","Males","Number","27.249.308"
"Total","Italy","1977","Females","Number","28.598.245"
"Total","Italy","1978","Total","Number","56.063.269"
"Total","Italy","1978","Males","Number","27.337.858"
"Total","Italy","1978","Females","Number","28.725.411"
"Total","Italy","1979","Total","Number","56.247.017"
"Total","Italy","1979","Males","Number","27.409.332"
"Total","Italy","1979","Females","Number","28.837.685"
"Total","Italy","1980","Total","Number","56.388.480"
"Total","Italy","1980","Males","Number","27.459.187"
"Total","Italy","1980","Females","Number","28.929.293"
"Total","Italy","1981","Total","Number","56.479.285"
"Total","Italy","1981","Males","Number","27.485.213"
"Total","Italy","1981","Females","Number","28.994.072"
"Total","Italy","1982","Total","Number","56.524.064"
"Total","Italy","1982","Males","Number","27.487.428"
"Total","Italy","1982","Females","Number","29.036.636"
"Total","Italy","1983","Total","Number","56.563.031"
"Total","Italy","1983","Males","Number","27.500.193"
"Total","Italy","1983","Females","Number","29.062.838"
"Total","Italy","1984","Total","Number","56.565.117"
"Total","Italy","1984","Males","Number","27.496.083"
"Total","Italy","1984","Females","Number","29.069.034"
"Total","Italy","1985","Total","Number","56.588.319"
"Total","Italy","1985","Males","Number","27.501.075"
"Total","Italy","1985","Females","Number","29.087.244"
"Total","Italy","1986","Total","Number","56.597.823"
"Total","Italy","1986","Males","Number","27.500.167"
"Total","Italy","1986","Females","Number","29.097.656"
"Total","Italy","1987","Total","Number","56.594.487"
"Total","Italy","1987","Males","Number","27.493.442"
"Total","Italy","1987","Females","Number","29.101.045"
"Total","Italy","1988","Total","Number","56.609.375"
"Total","Italy","1988","Males","Number","27.495.567"
"Total","Italy","1988","Females","Number","29.113.808"
"Total","Italy","1989","Total","Number","56.649.201"
"Total","Italy","1989","Males","Number","27.511.139"
"Total","Italy","1989","Females","Number","29.138.062"
"Total","Italy","1990","Total","Number","56.694.360"
"Total","Italy","1990","Males","Number","27.527.829"
"Total","Italy","1990","Females","Number","29.166.531"
"Total","Italy","1991","Total","Number","56.744.119"
"Total","Italy","1991","Males","Number","27.547.371"
"Total","Italy","1991","Females","Number","29.196.748"
"Total","Italy","1992","Total","Number","56.772.923"
"Total","Italy","1992","Males","Number","27.553.963"
"Total","Italy","1992","Females","Number","29.218.960"
"Total","Italy","1993","Total","Number","56.821.250"
"Total","Italy","1993","Males","Number","27.572.056"
"Total","Italy","1993","Females","Number","29.249.194"
"Total","Italy","1994","Total","Number","56.842.392"
"Total","Italy","1994","Males","Number","27.576.391"
"Total","Italy","1994","Females","Number","29.266.001"
"Total","Italy","1995","Total","Number","56.844.408"
"Total","Italy","1995","Males","Number","27.568.963"
"Total","Italy","1995","Females","Number","29.275.445"
"Total","Italy","1996","Total","Number","56.844.197"
"Total","Italy","1996","Males","Number","27.560.294"
"Total","Italy","1996","Females","Number","29.283.903"
"Total","Italy","1997","Total","Number","56.876.364"
"Total","Italy","1997","Males","Number","27.566.774"
"Total","Italy","1997","Females","Number","29.309.590"
"Total","Italy","1998","Total","Number","56.904.379"
"Total","Italy","1998","Males","Number","27.571.578"
"Total","Italy","1998","Females","Number","29.332.801"
"Total","Italy","1999","Total","Number","56.909.109"
"Total","Italy","1999","Males","Number","27.563.748"
"Total","Italy","1999","Females","Number","29.345.361"
"Total","Italy","2000","Total","Number","56.923.524"
"Total","Italy","2000","Males","Number","27.562.988"
"Total","Italy","2000","Females","Number","29.360.536"
"Total","Italy","2001","Total","Number","56.960.692"
"Total","Italy","2001","Males","Number","27.576.326"
"Total","Italy","2001","Females","Number","29.384.366"
"Total","Italy","2002","Total","Number","56.987.507"
"Total","Italy","2002","Males","Number","27.585.050"
"Total","Italy","2002","Females","Number","29.402.457"
"Total","Italy","2003","Total","Number","57.130.506"
"Total","Italy","2003","Males","Number","27.658.649"
"Total","Italy","2003","Females","Number","29.471.857"
"Total","Italy","2004","Total","Number","57.495.900"
"Total","Italy","2004","Males","Number","27.845.601"
"Total","Italy","2004","Females","Number","29.650.299"
"Total","Italy","2005","Total","Number","57.874.753"
"Total","Italy","2005","Males","Number","28.044.210"
"Total","Italy","2005","Females","Number","29.830.543"
"Total","Italy","2006","Total","Number","58.064.214"
"Total","Italy","2006","Males","Number","28.138.577"
"Total","Italy","2006","Females","Number","29.925.637"
"Total","Italy","2007","Total","Number","58.223.744"
"Total","Italy","2007","Males","Number","28.212.234"
"Total","Italy","2007","Females","Number","30.011.510"
"Total","Italy","2008","Total","Number","58.652.875"
"Total","Italy","2008","Males","Number","28.411.242"
"Total","Italy","2008","Females","Number","30.241.633"
"Total","Italy","2009","Total","Number","59.000.586"
"Total","Italy","2009","Males","Number","28.570.007"
"Total","Italy","2009","Females","Number","30.430.579"
"Total","Italy","2010","Total","Number","59.190.143"
"Total","Italy","2010","Males","Number","28.649.385"
"Total","Italy","2010","Females","Number","30.540.758"
"Total","Italy","2011","Total","Number","59.364.690"
"Total","Italy","2011","Males","Number","28.715.256"
"Total","Italy","2011","Females","Number","30.649.434"
"Total","Italy","2012","Total","Number","59.394.207"
"Total","Italy","2012","Males","Number","28.726.599"
"Total","Italy","2012","Females","Number","30.667.608"
"Total","Italy","2013","Total","Number","59.685.227"
"Total","Italy","2013","Males","Number","28.889.597"
"Total","Italy","2013","Females","Number","30.795.630"
"Total","Italy","2014","Total","Number","60.782.668"
"Total","Italy","2014","Males","Number","29.484.564"
"Total","Italy","2014","Females","Number","31.298.104"
"Total","Italy","2015","Total","Number","60.795.612"
"Total","Italy","2015","Males","Number","29.501.590"
"Total","Italy","2015","Females","Number","31.294.022"
"Total","Italy","2016","Total","Number","60.665.551"
"Total","Italy","2016","Males","Number","29.456.321"
"Total","Italy","2016","Females","Number","31.209.230"
"Total","Italy","2017","Total","Number","60.589.445"
"Total","Italy","2017","Males","Number","29.445.741"
"Total","Italy","2017","Females","Number","31.143.704"
"Total","Italy","2018","Total","Number","60.483.973"
"Total","Italy","2018","Males","Number","29.427.607"
"Total","Italy","2018","Females","Number","31.056.366"
"Total","Cyprus","1960","Total","Number","572.000"
"Total","Cyprus","1960","Males","Number",":"
"Total","Cyprus","1960","Females","Number",":"
"Total","Cyprus","1961","Total","Number","573.566"
"Total","Cyprus","1961","Males","Number","281.983"
"Total","Cyprus","1961","Females","Number","291.583"
"Total","Cyprus","1962","Total","Number","575.900"
"Total","Cyprus","1962","Males","Number","284.000"
"Total","Cyprus","1962","Females","Number","291.900"
"Total","Cyprus","1963","Total","Number","578.900"
"Total","Cyprus","1963","Males","Number","285.000"
"Total","Cyprus","1963","Females","Number","293.900"
"Total","Cyprus","1964","Total","Number","585.500"
"Total","Cyprus","1964","Males","Number","288.200"
"Total","Cyprus","1964","Females","Number","297.300"
"Total","Cyprus","1965","Total","Number","588.400"
"Total","Cyprus","1965","Males","Number","290.200"
"Total","Cyprus","1965","Females","Number","298.200"
"Total","Cyprus","1966","Total","Number","593.200"
"Total","Cyprus","1966","Males","Number","292.100"
"Total","Cyprus","1966","Females","Number","301.100"
"Total","Cyprus","1967","Total","Number","597.100"
"Total","Cyprus","1967","Males","Number","294.000"
"Total","Cyprus","1967","Females","Number","303.100"
"Total","Cyprus","1968","Total","Number","601.800"
"Total","Cyprus","1968","Males","Number","295.900"
"Total","Cyprus","1968","Females","Number","305.900"
"Total","Cyprus","1969","Total","Number","606.800"
"Total","Cyprus","1969","Males","Number","298.900"
"Total","Cyprus","1969","Females","Number","307.900"
"Total","Cyprus","1970","Total","Number","612.000"
"Total","Cyprus","1970","Males","Number","302.000"
"Total","Cyprus","1970","Females","Number","310.000"
"Total","Cyprus","1971","Total","Number","616.900"
"Total","Cyprus","1971","Males","Number","304.000"
"Total","Cyprus","1971","Females","Number","312.900"
"Total","Cyprus","1972","Total","Number","623.100"
"Total","Cyprus","1972","Males","Number","306.000"
"Total","Cyprus","1972","Females","Number","317.100"
"Total","Cyprus","1973","Total","Number","631.778"
"Total","Cyprus","1973","Males","Number","312.566"
"Total","Cyprus","1973","Females","Number","319.212"
"Total","Cyprus","1974","Total","Number","637.800"
"Total","Cyprus","1974","Males","Number","315.500"
"Total","Cyprus","1974","Females","Number","322.300"
"Total","Cyprus","1975","Total","Number","505.700"
"Total","Cyprus","1975","Males","Number","250.800"
"Total","Cyprus","1975","Females","Number","254.900"
"Total","Cyprus","1976","Total","Number","497.879"
"Total","Cyprus","1976","Males","Number","248.711"
"Total","Cyprus","1976","Females","Number","249.168"
"Total","Cyprus","1977","Total","Number","497.600"
"Total","Cyprus","1977","Males","Number","248.700"
"Total","Cyprus","1977","Females","Number","248.900"
"Total","Cyprus","1978","Total","Number","498.000"
"Total","Cyprus","1978","Males","Number","246.800"
"Total","Cyprus","1978","Females","Number","251.200"
"Total","Cyprus","1979","Total","Number","501.300"
"Total","Cyprus","1979","Males","Number","248.200"
"Total","Cyprus","1979","Females","Number","253.100"
"Total","Cyprus","1980","Total","Number","505.800"
"Total","Cyprus","1980","Males","Number","250.900"
"Total","Cyprus","1980","Females","Number","254.900"
"Total","Cyprus","1981","Total","Number","512.300"
"Total","Cyprus","1981","Males","Number","254.100"
"Total","Cyprus","1981","Females","Number","258.200"
"Total","Cyprus","1982","Total","Number","522.845"
"Total","Cyprus","1982","Males","Number","259.938"
"Total","Cyprus","1982","Females","Number","262.907"
"Total","Cyprus","1983","Total","Number","524.623"
"Total","Cyprus","1983","Males","Number","260.904"
"Total","Cyprus","1983","Females","Number","263.719"
"Total","Cyprus","1984","Total","Number","531.518"
"Total","Cyprus","1984","Males","Number","264.416"
"Total","Cyprus","1984","Females","Number","267.102"
"Total","Cyprus","1985","Total","Number","538.397"
"Total","Cyprus","1985","Males","Number","267.968"
"Total","Cyprus","1985","Females","Number","270.429"
"Total","Cyprus","1986","Total","Number","544.605"
"Total","Cyprus","1986","Males","Number","271.309"
"Total","Cyprus","1986","Females","Number","273.296"
"Total","Cyprus","1987","Total","Number","550.888"
"Total","Cyprus","1987","Males","Number","274.519"
"Total","Cyprus","1987","Females","Number","276.369"
"Total","Cyprus","1988","Total","Number","556.584"
"Total","Cyprus","1988","Males","Number","277.487"
"Total","Cyprus","1988","Females","Number","279.097"
"Total","Cyprus","1989","Total","Number","562.693"
"Total","Cyprus","1989","Males","Number","280.569"
"Total","Cyprus","1989","Females","Number","282.124"
"Total","Cyprus","1990","Total","Number","572.655"
"Total","Cyprus","1990","Males","Number","285.591"
"Total","Cyprus","1990","Females","Number","287.064"
"Total","Cyprus","1991","Total","Number","587.141"
"Total","Cyprus","1991","Males","Number","292.485"
"Total","Cyprus","1991","Females","Number","294.656"
"Total","Cyprus","1992","Total","Number","603.069"
"Total","Cyprus","1992","Males","Number","300.255"
"Total","Cyprus","1992","Females","Number","302.814"
"Total","Cyprus","1993","Total","Number","619.231"
"Total","Cyprus","1993","Males","Number","308.530"
"Total","Cyprus","1993","Females","Number","310.701"
"Total","Cyprus","1994","Total","Number","632.944"
"Total","Cyprus","1994","Males","Number","314.504"
"Total","Cyprus","1994","Females","Number","318.440"
"Total","Cyprus","1995","Total","Number","645.399"
"Total","Cyprus","1995","Males","Number","319.967"
"Total","Cyprus","1995","Females","Number","325.432"
"Total","Cyprus","1996","Total","Number","656.333"
"Total","Cyprus","1996","Males","Number","324.809"
"Total","Cyprus","1996","Females","Number","331.524"
"Total","Cyprus","1997","Total","Number","666.313"
"Total","Cyprus","1997","Males","Number","329.195"
"Total","Cyprus","1997","Females","Number","337.118"
"Total","Cyprus","1998","Total","Number","675.215"
"Total","Cyprus","1998","Males","Number","333.025"
"Total","Cyprus","1998","Females","Number","342.190"
"Total","Cyprus","1999","Total","Number","682.862"
"Total","Cyprus","1999","Males","Number","336.325"
"Total","Cyprus","1999","Females","Number","346.537"
"Total","Cyprus","2000","Total","Number","690.497"
"Total","Cyprus","2000","Males","Number","339.655"
"Total","Cyprus","2000","Females","Number","350.842"
"Total","Cyprus","2001","Total","Number","697.549"
"Total","Cyprus","2001","Males","Number","342.752"
"Total","Cyprus","2001","Females","Number","354.797"
"Total","Cyprus","2002","Total","Number","705.539"
"Total","Cyprus","2002","Males","Number","346.178"
"Total","Cyprus","2002","Females","Number","359.361"
"Total","Cyprus","2003","Total","Number","713.720"
"Total","Cyprus","2003","Males","Number","350.137"
"Total","Cyprus","2003","Females","Number","363.583"
"Total","Cyprus","2004","Total","Number","722.893"
"Total","Cyprus","2004","Males","Number","354.562"
"Total","Cyprus","2004","Females","Number","368.331"
"Total","Cyprus","2005","Total","Number","733.067"
"Total","Cyprus","2005","Males","Number","359.321"
"Total","Cyprus","2005","Females","Number","373.746"
"Total","Cyprus","2006","Total","Number","744.013"
"Total","Cyprus","2006","Males","Number","364.582"
"Total","Cyprus","2006","Females","Number","379.431"
"Total","Cyprus","2007","Total","Number","757.916"
"Total","Cyprus","2007","Males","Number","371.514"
"Total","Cyprus","2007","Females","Number","386.402"
"Total","Cyprus","2008","Total","Number","776.333"
"Total","Cyprus","2008","Males","Number","380.458"
"Total","Cyprus","2008","Females","Number","395.875"
"Total","Cyprus","2009","Total","Number","796.930"
"Total","Cyprus","2009","Males","Number","389.926"
"Total","Cyprus","2009","Females","Number","407.004"
"Total","Cyprus","2010","Total","Number","819.140"
"Total","Cyprus","2010","Males","Number","399.605"
"Total","Cyprus","2010","Females","Number","419.535"
"Total","Cyprus","2011","Total","Number","839.751"
"Total","Cyprus","2011","Males","Number","408.758"
"Total","Cyprus","2011","Females","Number","430.993"
"Total","Cyprus","2012","Total","Number","862.011"
"Total","Cyprus","2012","Males","Number","418.993"
"Total","Cyprus","2012","Females","Number","443.018"
"Total","Cyprus","2013","Total","Number","865.878"
"Total","Cyprus","2013","Males","Number","421.036"
"Total","Cyprus","2013","Females","Number","444.842"
"Total","Cyprus","2014","Total","Number","858.000"
"Total","Cyprus","2014","Males","Number","417.538"
"Total","Cyprus","2014","Females","Number","440.462"
"Total","Cyprus","2015","Total","Number","847.008"
"Total","Cyprus","2015","Males","Number","411.825"
"Total","Cyprus","2015","Females","Number","435.183"
"Total","Cyprus","2016","Total","Number","848.319"
"Total","Cyprus","2016","Males","Number","412.692"
"Total","Cyprus","2016","Females","Number","435.627"
"Total","Cyprus","2017","Total","Number","854.802"
"Total","Cyprus","2017","Males","Number","416.663"
"Total","Cyprus","2017","Females","Number","438.139"
"Total","Cyprus","2018","Total","Number","864.236"
"Total","Cyprus","2018","Males","Number","421.508"
"Total","Cyprus","2018","Females","Number","442.728"
"Total","Latvia","1960","Total","Number","2.104.128"
"Total","Latvia","1960","Males","Number",":"
"Total","Latvia","1960","Females","Number",":"
"Total","Latvia","1961","Total","Number","2.137.830"
"Total","Latvia","1961","Males","Number",":"
"Total","Latvia","1961","Females","Number",":"
"Total","Latvia","1962","Total","Number","2.167.531"
"Total","Latvia","1962","Males","Number",":"
"Total","Latvia","1962","Females","Number",":"
"Total","Latvia","1963","Total","Number","2.195.640"
"Total","Latvia","1963","Males","Number",":"
"Total","Latvia","1963","Females","Number",":"
"Total","Latvia","1964","Total","Number","2.226.198"
"Total","Latvia","1964","Males","Number",":"
"Total","Latvia","1964","Females","Number",":"
"Total","Latvia","1965","Total","Number","2.255.048"
"Total","Latvia","1965","Males","Number",":"
"Total","Latvia","1965","Females","Number",":"
"Total","Latvia","1966","Total","Number","2.276.789"
"Total","Latvia","1966","Males","Number",":"
"Total","Latvia","1966","Females","Number",":"
"Total","Latvia","1967","Total","Number","2.289.645"
"Total","Latvia","1967","Males","Number",":"
"Total","Latvia","1967","Females","Number",":"
"Total","Latvia","1968","Total","Number","2.312.795"
"Total","Latvia","1968","Males","Number",":"
"Total","Latvia","1968","Females","Number",":"
"Total","Latvia","1969","Total","Number","2.334.443"
"Total","Latvia","1969","Males","Number",":"
"Total","Latvia","1969","Females","Number",":"
"Total","Latvia","1970","Total","Number","2.351.903"
"Total","Latvia","1970","Males","Number","1.073.060"
"Total","Latvia","1970","Females","Number","1.278.843"
"Total","Latvia","1971","Total","Number","2.366.424"
"Total","Latvia","1971","Males","Number","1.081.058"
"Total","Latvia","1971","Females","Number","1.285.366"
"Total","Latvia","1972","Total","Number","2.386.353"
"Total","Latvia","1972","Males","Number","1.093.347"
"Total","Latvia","1972","Females","Number","1.293.006"
"Total","Latvia","1973","Total","Number","2.404.995"
"Total","Latvia","1973","Males","Number","1.103.390"
"Total","Latvia","1973","Females","Number","1.301.605"
"Total","Latvia","1974","Total","Number","2.426.642"
"Total","Latvia","1974","Males","Number","1.114.094"
"Total","Latvia","1974","Females","Number","1.312.548"
"Total","Latvia","1975","Total","Number","2.447.730"
"Total","Latvia","1975","Males","Number","1.125.084"
"Total","Latvia","1975","Females","Number","1.322.646"
"Total","Latvia","1976","Total","Number","2.464.529"
"Total","Latvia","1976","Males","Number","1.133.086"
"Total","Latvia","1976","Females","Number","1.331.443"
"Total","Latvia","1977","Total","Number","2.477.449"
"Total","Latvia","1977","Males","Number","1.139.029"
"Total","Latvia","1977","Females","Number","1.338.420"
"Total","Latvia","1978","Total","Number","2.492.697"
"Total","Latvia","1978","Males","Number","1.147.140"
"Total","Latvia","1978","Females","Number","1.345.557"
"Total","Latvia","1979","Total","Number","2.503.145"
"Total","Latvia","1979","Males","Number","1.151.577"
"Total","Latvia","1979","Females","Number","1.351.568"
"Total","Latvia","1980","Total","Number","2.508.761"
"Total","Latvia","1980","Males","Number","1.154.454"
"Total","Latvia","1980","Females","Number","1.354.307"
"Total","Latvia","1981","Total","Number","2.514.640"
"Total","Latvia","1981","Males","Number","1.157.888"
"Total","Latvia","1981","Females","Number","1.356.752"
"Total","Latvia","1982","Total","Number","2.524.202"
"Total","Latvia","1982","Males","Number","1.163.032"
"Total","Latvia","1982","Females","Number","1.361.170"
"Total","Latvia","1983","Total","Number","2.537.958"
"Total","Latvia","1983","Males","Number","1.170.179"
"Total","Latvia","1983","Females","Number","1.367.779"
"Total","Latvia","1984","Total","Number","2.554.063"
"Total","Latvia","1984","Males","Number","1.178.723"
"Total","Latvia","1984","Females","Number","1.375.340"
"Total","Latvia","1985","Total","Number","2.570.030"
"Total","Latvia","1985","Males","Number","1.187.090"
"Total","Latvia","1985","Females","Number","1.382.940"
"Total","Latvia","1986","Total","Number","2.587.716"
"Total","Latvia","1986","Males","Number","1.196.300"
"Total","Latvia","1986","Females","Number","1.391.416"
"Total","Latvia","1987","Total","Number","2.612.068"
"Total","Latvia","1987","Males","Number","1.209.487"
"Total","Latvia","1987","Females","Number","1.402.581"
"Total","Latvia","1988","Total","Number","2.641.097"
